CID	accp_score
25226117	0.993578851646307
16007391	0.983282332898838
0	0.981579143000805
25262965	0.959978372119029
11707110	0.956027775030358
13017911	0.955915162452788
4212	0.952808677247977
17755052	0.952032397441504
9884685	0.95102230041531
51358113	0.948430204229569
25222038	0.937430220066442
5330286	0.934063065591115
73707531	0.933805784410755
5287969	0.933659078514866
72698550	0.932126546547822
53401173	0.928245388644801
66694608	0.928103606880135
11598628	0.924542925906593
208908	0.921673269111775
11626560	0.919071950571989
11338033	0.918345533209627
11713159	0.917483934070362
9915743	0.915910186902675
644215	0.912404428351581
3062316	0.912148192807069
10196499	0.911327345048462
265237	0.911114568307874
11977753	0.910443095595257
9826528	0.909965508221269
10172943	0.909226785600734
3025986	0.908253942711843
135423438	0.904734272513125
16747683	0.901620455131924
53302361	0.900070011678723
11647372	0.899091916463194
25124816	0.897943495050512
10302451	0.896514334051048
52914946	0.895305458077193
6445562	0.894923716887775
42611257	0.891891621908588
5284616	0.891509530799082
9813758	0.888193510743016
9874913	0.887858804288052
156414	0.885949943930249
