DrugID	CID	cor_r
BRD-A18328003	66694608	-0.0517664207054491
BRD-A18328003	66694608	-0.0653156998133117
BRD-A39996500	5311380	0.00850686994062348
BRD-K24496482	53239990	0.0471512618131381
BRD-A19500257	13017911	0.00497517018630673
BRD-A19500257	13017911	-0.000999686959389185
BRD-A19500257	13017911	0.00850303012833049
BRD-A21584801	11451527	0.021496665413739
BRD-A21584801	11451527	-0.0107590906791795
BRD-A21584801	11451527	0.0279534522886505
BRD-A21584801	11451527	0.0206255069863264
BRD-A21584801	11451527	0.0195411307778757
BRD-A21584801	11451527	-0.0121195536739665
BRD-A21584801	11451527	0.0124916784542201
BRD-K24496482	53239990	0.0661610450454967
BRD-A21584801	11451527	0.0120004234171593
BRD-A21584801	11451527	-0.00560852610676503
BRD-A21584801	11451527	-0.0300548119871731
BRD-A21584801	11451527	0.0255030417661052
BRD-A21584801	11451527	0.020874672906777
BRD-A21584801	11451527	0.00492749091756931
BRD-A21584801	11451527	-0.0433260268605024
BRD-A21584801	11451527	0.0376757994666704
BRD-A21584801	11451527	0.0720698182357847
BRD-A21584801	11451527	-0.00372774766327527
BRD-K24496482	53239990	0.0159037112408296
BRD-A21584801	11451527	-0.0252725423713996
BRD-A21584801	11451527	0.0590739438090164
BRD-A21584801	11451527	0.0292350759241922
BRD-A21584801	11451527	0.0177867184069665
BRD-A21584801	11451527	-0.0317964242165933
BRD-A21584801	11451527	0.0501981541674851
BRD-A21584801	11451527	0.024021638758544
BRD-A24396574	73707365	0.00574217243261161
BRD-A24396574	73707365	0.0242640017623869
BRD-A24396574	73707365	-0.0337390290682878
BRD-K24496482	53239990	-0.055198803006378
BRD-A24396574	73707365	0.0201438791460876
BRD-A24396574	73707365	0.0399407445284748
BRD-A24396574	73707365	0.0220839791019266
BRD-A24396574	73707365	-0.0205726719977004
BRD-A24396574	73707365	0.0259769642472808
BRD-A24396574	73707365	0.00346547672720004
BRD-A24396574	73707365	0.011713941420951
BRD-A24396574	73707365	0.000942995369091284
BRD-A24396574	73707365	0.0157806929932729
BRD-A24396574	73707365	0.0112413837406914
BRD-K24496482	53239990	0.0207166431013341
BRD-A24396574	73707365	0.0136130563197379
BRD-A24396574	73707365	0.0150266965985521
BRD-A24396574	73707365	-0.0076693002004383
BRD-A24396574	73707365	-0.016134167319688
BRD-A24396574	73707365	-0.0417877782992035
BRD-A24396574	73707365	0.0103955944072132
BRD-A24396574	73707365	0.00753227407638617
BRD-A24396574	73707365	-0.009240765693144
BRD-A24396574	73707365	-0.00997233112854475
BRD-A24396574	73707365	-0.00238902843640794
BRD-K24496482	53239990	0.021849630031089
BRD-A24396574	73707365	0.030735825085192
BRD-A39996500	5311380	0.0362567020920777
BRD-A39996500	5311380	0.0198074816455604
BRD-A39996500	5311380	0.042573900643001
BRD-A39996500	5311380	0.0201175863745563
BRD-A39996500	5311380	0.0163840617683382
BRD-A39996500	5311380	-0.0218223919464155
BRD-A39996500	5311380	0.0559493401843591
BRD-A39996500	5311380	-0.0293663364219537
BRD-A39996500	5311380	-0.0183277084278131
BRD-K24496482	53239990	0.0449413282973097
BRD-A39996500	5311380	-0.0312801388390004
BRD-A39996500	5311380	0.0208420171566114
BRD-A39996500	5311380	0.0281725377812096
BRD-A39996500	5311380	0.0142309141350299
BRD-A39996500	5311380	-0.0250590886222416
BRD-A39996500	5311380	-0.00642107015630099
BRD-A39996500	5311380	0.027708583604523
BRD-A39996500	5311380	0.0197913812958839
BRD-A39996500	5311380	-0.0221183416496521
BRD-A39996500	5311380	0.0401701790227196
BRD-K24496482	53239990	-0.0107262594867257
BRD-A39996500	5311380	0.0199100436507348
BRD-A39996500	5311380	0.0115955445913163
BRD-A39996500	5311380	-0.0137029366798136
BRD-A39996500	5311380	0.013611967352147
BRD-A39996500	5311380	0.00134957075259718
BRD-A41692738	9907093	-0.0144092437424806
BRD-A41692738	9907093	-0.0244122936259122
