SM_ID	Pert_ID	SM_Name	SM_Alternative_Name	SM_PubChem_CID
LSM-5545	BRD-U61997977	38216	11957	73707531
LSM-43287	BRD-U64521890	38137	11970	73707533
LSM-42745	BRD-A01645196	4955	8541	0
LSM-1012	BRD-A10523515	31489	1	11373846
LSM-1137	BRD-A13021932	4925	4241	11467730
LSM-43054	BRD-A25736793	4999	11255	0
LSM-1140	BRD-A29009894	4471	1	46861588
LSM-1043	BRD-A29901043	31871	1	20635522
LSM-1129	BRD-A35869383	37217	1	16126651
LSM-1168	BRD-A37704979	38037	1	176155
LSM-1188	BRD-A45540146	4715	1	57345770
LSM-1610	BRD-A50737080	28430	1	6605258
LSM-1177	BRD-A58280226	30274	1	5711
LSM-43056	BRD-A61304759	38141	11611	73707384
LSM-1070	BRD-A68739437	38263	10858	46843648
LSM-1156	BRD-A90451247	28256	1	16117018
LSM-1194	BRD-A92800748	41706	11728	23625762
LSM-1163	BRD-K01567962	37565	1	8515
LSM-1145	BRD-K02113016	37090	4099	23725625
LSM-1157	BRD-K02123250	31894	8848	46911863
LSM-5218	BRD-K03406345	4464	4085	9444
LSM-1050	BRD-K05804044	4463	1	11676786
LSM-6297	BRD-K05870596	36915	1	73265211
LSM-42779	BRD-K07859598	31503	11258	5924208
LSM-6334	BRD-K08109215	31468	8607	46943432
LSM-1203	BRD-K09132007	1118	1	6419753
LSM-1081	BRD-K09186807	37243	1	49766501
LSM-2191	BRD-K09537769	37059	8080	9860529
LSM-6303	BRD-K09951645	30307	7891	44462760
LSM-1030	BRD-K09991945	31475	1	6539732
LSM-6317	BRD-K11153516	31790	8766	9796068
LSM-1202	BRD-K11267252	3916	3916	49806720
LSM-1155	BRD-K12040459	4421	1	11175137
LSM-6342	BRD-K12787259	30267	1	25257557
LSM-6331	BRD-K13094524	37296	1	71271629
LSM-6306	BRD-K13662825	30504	8051	46926350
LSM-36359	BRD-K14109347	37620	11252	11955855
LSM-5344	BRD-K16485616	36357	9289	9865515
LSM-1226	BRD-K16730910	37649	4120	11167602
LSM-6333	BRD-K17588104	86	18	49871818
LSM-43181	BRD-K17743125	4771	4129	6918638
LSM-1123	BRD-K19477839	38327	11490	24779724
LSM-6345	BRD-K20526256	31565	1	56655374
LSM-1208	BRD-K21025364	1737	7718	9934347
LSM-42803	BRD-K21718444	32059	8956	11427553
LSM-6337	BRD-K21906513	41932	1	46931242
LSM-1003	BRD-K22096725	29885	3954	24875320
LSM-1197	BRD-K24050847	28381	1	66577006
LSM-5394	BRD-K24515980	29817	11218	73265214
LSM-1044	BRD-K24859147	28749	1	56965963
LSM-1074	BRD-K25311561	31970	8870	5278396
LSM-1179	BRD-K25340465	37135	10906	9868037
LSM-36358	BRD-K26756394	41999	1	51000408
LSM-6343	BRD-K26760349	31569	1	0
LSM-4571	BRD-K26818574	4903	1	25150857
LSM-1225	BRD-K26838195	3933	1	24739943
LSM-6308	BRD-K28392481	4486	1	51039095
LSM-6710	BRD-K29415052	4860	4209	11978790
LSM-1113	BRD-K29983336	36493	7609	16757524
LSM-6321	BRD-K30632436	36696	1	729859
LSM-6305	BRD-K31313613	28188	1	49867929
LSM-43196	BRD-K32536677	3780	1	2130404
LSM-44939	BRD-K32847255	31482	1	56963315
LSM-1131	BRD-K33379087	41726	11741	11494412
LSM-6335	BRD-K36363294	31689	8713	52912189
LSM-1062	BRD-K36740062	31472	1	46885626
LSM-1121	BRD-K37720887	38054	1	9967941
LSM-4254	BRD-K37764012	37281	11008	25227462
LSM-1144	BRD-K40738845	4930	4245	24794418
LSM-1175	BRD-K41918892	1788	1	54708532
LSM-36357	BRD-K42436189	4462	1	46244454
LSM-1184	BRD-K42728290	31787	1	53235510
LSM-6344	BRD-K42805893	37136	4097	71496458
LSM-42800	BRD-K42828737	41042	11581	5329102
LSM-6341	BRD-K43002773	31813	8782	24788740
LSM-1151	BRD-K44227013	37431	11122	24826799
LSM-1186	BRD-K45746021	28365	7664	10430360
LSM-5578	BRD-K47029922	41779	11787	19493
LSM-1189	BRD-K47983010	28237	7608	10077147
LSM-1204	BRD-K49055432	381	1	42636535
LSM-1154	BRD-K49468759	30228	1	44143370
LSM-6304	BRD-K50000283	37301	11020	11715767
LSM-1094	BRD-K50387473	42133	1	46843772
LSM-1195	BRD-K51544265	28261	7612	25102847
LSM-1136	BRD-K51575138	41770	1	9903786
LSM-43292	BRD-K52560704	29842	1	53392493
LSM-1060	BRD-K52751261	41552	11596	9952773
LSM-1167	BRD-K53281329	4703	1	10200390
LSM-6318	BRD-K53328210	31904	1	2946601
LSM-1005	BRD-K53414658	41727	11742	9911830
LSM-6340	BRD-K53417444	37142	10912	0
LSM-1065	BRD-K53561341	4442	1	44139710
LSM-1153	BRD-K54256913	4475	4089	24856436
LSM-6332	BRD-K54606188	400	347	46907787
LSM-44531	BRD-K55187425	37708	11318	6918736
LSM-5661	BRD-K55591206	30690	9	65064
LSM-1124	BRD-K56277358	32482	9288	24901704
LSM-1180	BRD-K56301217	1871	1	11228183
LSM-42808	BRD-K57169635	30310	7895	11511120
LSM-1161	BRD-K59184148	38040	11454	176158
LSM-1206	BRD-K59317601	32557	8767	45375953
LSM-1171	BRD-K60219430	42658	1	60167550
LSM-1205	BRD-K60866521	31719	8728	11625818
LSM-1093	BRD-K64857848	28629	11971	46844147
LSM-1118	BRD-K66538826	4082	3999	11282283
LSM-5749	BRD-K66847579	38166	11958	73265276
LSM-6320	BRD-K66989831	4136	4010	167551
LSM-42801	BRD-K67578145	36355	8546	25093303
LSM-1002	BRD-K68191783	38128	3953	24880028
LSM-1224	BRD-K68336408	41914	1	2051
LSM-1033	BRD-K68407802	42107	11949	3796
LSM-43281	BRD-K68548958	40768	6606	1285940
LSM-42790	BRD-K68756823	31325	1	53338808
LSM-42802	BRD-K70511574	31576	1	9888590
LSM-1222	BRD-K70642949	31474	1	46215815
LSM-1130	BRD-K71035033	32272	9094	10074640
LSM-1085	BRD-K72420232	42117	1	44607530
LSM-1096	BRD-K72703948	1131	1	9914412
LSM-1166	BRD-K73319509	37283	11009	17754438
LSM-1166	BRD-K73319509	37283	11009	17754438
LSM-1170	BRD-K74065929	30571	4225	156422
LSM-1114	BRD-K74514084	37213	10966	10113978
LSM-1174	BRD-K75308783	38019	11065	49867926
LSM-1209	BRD-K76401790	31511	8634	766949
LSM-6708	BRD-K76694128	37643	11279	25066467
LSM-6271	BRD-K76964878	1790	1	707029
LSM-1058	BRD-K76969307	28687	1	57394468
LSM-1199	BRD-K77625799	41987	11894	3081361
LSM-4811	BRD-K77908580	30679	9448	4261
LSM-1196	BRD-K78790801	28241	1	11654378
LSM-1198	BRD-K79018442	42656	4121	67135703
LSM-1200	BRD-K79239947	1794	1	11612883
LSM-5855	BRD-K79254416	30343	3389	451668
LSM-1201	BRD-K79259477	37069	1	16747388
LSM-6307	BRD-K80700417	38326	11489	24795070
LSM-42917	BRD-K80738081	37667	11785	445154
LSM-3828	BRD-K81418486	42043	11556	5311
LSM-6336	BRD-K82181189	31826	8795	73010922
